"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",101,yandex,cpc,freemium,,101,25,1654810
"2023-06-01",74,yandex,cpc,prof-frontend,,74,12,1057000
"2023-06-01",65,yandex,cpc,prof-python,,65,8,680246
"2023-06-01",28,yandex,cpc,base-python,,28,7,476021
"2023-06-01",44,vk,cpc,freemium-frontend,,44,5,338083
"2023-06-01",39,vk,cpc,prof-python,,39,5,355564
"2023-06-01",49,yandex,cpc,prof-java,,49,4,284590
"2023-06-01",41,yandex,cpc,base-frontend,,41,3,268515
"2023-06-01",13,yandex,cpc,prof-professions-brand,,13,3,154287
"2023-06-01",24,vk,cpc,prof-java,,24,2,232726
"2023-06-01",14,yandex,cpc,prof-data-analytics,,14,2,220264
"2023-06-01",36,vk,cpc,base-python,,36,1,9072
"2023-06-01",25,vk,cpc,freemium-python,,25,1,1560
"2023-06-01",20,yandex,cpc,base-java,,20,1,48000
"2023-06-01",6,yandex,cpc,dod-professions,,6,1,37800
